camara,departamento,duracion_segundos,fecha_fin,fecha_ini,id,id_legislador,lema,sublema,titular
Cámara de Representantes,ROCHA,86340.0,2015-12-09 23:59:00,2015-12-09 00:00:00,1267,11632,PARTIDO FRENTE AMPLIO,90609,"de los Santos Severgnini, Darcy Amaury"
Cámara de Representantes,ROCHA,86340.0,2016-07-12 23:59:00,2016-07-12 00:00:00,1268,11632,PARTIDO FRENTE AMPLIO,90609,"de los Santos Severgnini, Darcy Amaury"
Cámara de Representantes,ROCHA,86340.0,2016-08-10 23:59:00,2016-08-09 00:00:00,1269,11632,PARTIDO FRENTE AMPLIO,90609,"de los Santos Severgnini, Darcy Amaury"
Cámara de Representantes,ROCHA,86340.0,2016-11-01 23:59:00,2016-10-31 00:00:00,1270,11632,PARTIDO FRENTE AMPLIO,90609,"de los Santos Severgnini, Darcy Amaury"
Cámara de Representantes,ROCHA,86340.0,2017-04-05 23:59:00,2017-04-05 00:00:00,1271,11632,PARTIDO FRENTE AMPLIO,90609,"de los Santos Severgnini, Darcy Amaury"
Cámara de Representantes,ROCHA,86340.0,2017-05-11 23:59:00,2017-05-11 00:00:00,1272,11632,PARTIDO FRENTE AMPLIO,90609,"de los Santos Severgnini, Darcy Amaury"
Cámara de Representantes,ROCHA,86340.0,2017-05-16 23:59:00,2017-05-16 00:00:00,1273,11632,PARTIDO FRENTE AMPLIO,90609,"de los Santos Severgnini, Darcy Amaury"
Cámara de Representantes,ROCHA,86340.0,2017-07-11 23:59:00,2017-07-11 00:00:00,1274,11632,PARTIDO FRENTE AMPLIO,90609,"de los Santos Severgnini, Darcy Amaury"
Cámara de Representantes,ROCHA,86340.0,2017-07-24 23:59:00,2017-07-24 00:00:00,1275,11632,PARTIDO FRENTE AMPLIO,90609,"de los Santos Severgnini, Darcy Amaury"
Cámara de Representantes,CERRO LARGO,65400.0,2015-08-16 18:10:00,2015-08-12 00:00:00,1276,10076,,3,
Cámara de Representantes,CERRO LARGO,86340.0,2015-10-13 23:59:00,2015-10-13 00:00:00,1277,10076,PARTIDO NACIONAL,3,"Yurramendi Pérez, José"
Cámara de Representantes,CERRO LARGO,45900.0,2015-10-14 12:45:00,2015-10-14 00:00:00,1278,10076,PARTIDO NACIONAL,3,"Yurramendi Pérez, José"
Cámara de Representantes,CERRO LARGO,86340.0,2015-12-03 23:59:00,2015-12-02 00:00:00,1279,10076,PARTIDO NACIONAL,3,"Yurramendi Pérez, José"
Cámara de Representantes,CERRO LARGO,86340.0,2015-12-22 23:59:00,2015-12-21 00:00:00,1280,10076,PARTIDO NACIONAL,3,"Yurramendi Pérez, José"
Cámara de Representantes,CERRO LARGO,86340.0,2016-06-12 23:59:00,2016-06-09 00:00:00,1281,10076,PARTIDO NACIONAL,3,"Yurramendi Pérez, José"
Cámara de Representantes,CERRO LARGO,72660.0,2016-08-01 20:11:00,2016-08-01 00:00:00,1282,10076,PARTIDO NACIONAL,3,"Yurramendi Pérez, José"
Cámara de Representantes,CERRO LARGO,49440.0,2016-08-03 13:44:00,2016-08-03 00:00:00,1283,10076,PARTIDO NACIONAL,3,"Yurramendi Pérez, José"
Cámara de Representantes,CERRO LARGO,86340.0,2016-09-03 23:59:00,2016-08-31 00:00:00,1284,10076,PARTIDO NACIONAL,3,"Yurramendi Pérez, José"
Cámara de Representantes,CERRO LARGO,86340.0,2017-03-01 23:59:00,2017-03-01 00:00:00,1285,10076,PARTIDO NACIONAL,3,"Yurramendi Pérez, José"
Cámara de Representantes,CERRO LARGO,86340.0,2017-07-15 23:59:00,2017-07-10 00:00:00,1286,10076,PARTIDO NACIONAL,3,"Yurramendi Pérez, José"
Cámara de Representantes,CERRO LARGO,69660.0,2017-08-02 19:21:00,2017-08-02 00:00:00,1287,10076,PARTIDO NACIONAL,3,"Yurramendi Pérez, José"
Cámara de Representantes,CERRO LARGO,86340.0,2017-08-05 23:59:00,2017-08-04 00:00:00,1288,10076,PARTIDO NACIONAL,3,"Yurramendi Pérez, José"
Cámara de Representantes,CERRO LARGO,86340.0,2017-08-16 23:59:00,2017-08-16 00:00:00,1289,10076,PARTIDO NACIONAL,3,"Yurramendi Pérez, José"
Cámara de Representantes,CERRO LARGO,86340.0,2017-11-01 23:59:00,2017-11-01 00:00:00,1290,10076,PARTIDO NACIONAL,3,"Yurramendi Pérez, José"
Cámara de Representantes,CERRO LARGO,86340.0,2017-12-14 23:59:00,2017-12-14 00:00:00,1291,10076,PARTIDO NACIONAL,3,"Yurramendi Pérez, José"
Cámara de Representantes,CERRO LARGO,63660.0,2018-04-17 17:41:00,2018-04-17 00:00:00,1292,10076,PARTIDO NACIONAL,3,"Yurramendi Pérez, José"
Cámara de Representantes,CERRO LARGO,86340.0,2018-05-26 23:59:00,2018-05-23 00:00:00,1293,10076,PARTIDO NACIONAL,3,"Yurramendi Pérez, José"
Cámara de Representantes,CERRO LARGO,86340.0,2018-06-12 23:59:00,2018-06-12 00:00:00,1294,10076,PARTIDO NACIONAL,3,"Yurramendi Pérez, José"
Cámara de Representantes,CERRO LARGO,86340.0,2018-07-17 23:59:00,2018-07-17 00:00:00,1295,10076,PARTIDO NACIONAL,3,"Yurramendi Pérez, José"
Cámara de Representantes,CERRO LARGO,86340.0,2018-08-14 23:59:00,2018-08-14 00:00:00,1296,10076,PARTIDO NACIONAL,3,"Yurramendi Pérez, José"
Cámara de Representantes,CERRO LARGO,57480.0,2018-08-15 15:58:00,2018-08-15 00:00:00,1297,10076,PARTIDO NACIONAL,3,"Yurramendi Pérez, José"
Cámara de Representantes,CERRO LARGO,55860.0,2018-08-16 15:31:00,2018-08-16 00:00:00,1298,10076,PARTIDO NACIONAL,3,"Yurramendi Pérez, José"
Cámara de Representantes,CERRO LARGO,86340.0,2018-10-16 23:59:00,2018-10-16 00:00:00,1299,10076,PARTIDO NACIONAL,3,"Yurramendi Pérez, José"
Cámara de Representantes,CERRO LARGO,86340.0,2018-10-17 23:59:00,2018-10-17 00:00:00,1300,10076,PARTIDO NACIONAL,3,"Yurramendi Pérez, José"
Cámara de Representantes,CERRO LARGO,86340.0,2018-10-18 23:59:00,2018-10-18 00:00:00,1301,10076,PARTIDO NACIONAL,3,"Yurramendi Pérez, José"
Cámara de Representantes,CERRO LARGO,86340.0,2018-10-19 23:59:00,2018-10-19 00:00:00,1302,10076,PARTIDO NACIONAL,3,"Yurramendi Pérez, José"
Cámara de Representantes,CERRO LARGO,86340.0,2019-03-06 23:59:00,2019-03-06 00:00:00,1303,10076,PARTIDO NACIONAL,3,"Yurramendi Pérez, José"
