,id_ficha,fecha_entrada,tipo,titulo,estado
69,128759,2016-03-16,PROYECTO DE RESOLUCION  ,"MONTANER, MARTHA. FALLECIMIENTO. HOMENAJE.",EN_TRAMITE
70,128447,2016-03-02,PROYECTO DE RESOLUCION  ,"PALME, Olof. TRAYECTORIA. HOMENAJE.",EN_TRAMITE
71,127178,2015-11-03,PROYECTO DE RESOLUCION,VENEZUELA. SITUACIÓN POLÍTICA. EXPOSICION.,EN_TRAMITE
72,126602,2015-09-16,RESOLUCION  ,"VASCONCELLOS, Amílcar. HOMENAJE.",APRUEBA
73,125014,2015-06-16,LEY,"FRUTAS, FLORES Y HORTALIZAS. IVA. FONDO RECONSTRUCCION Y FOMENTO DE LA GRANJA. FINANCIACION. PRORROGA.",PROMULGA
74,129125,2015-04-13,RESOLUCION  ,"LACARTE MURO, Julio. FALLECIMIENTO. HOMENAJE.",APRUEBA
75,142063,2018-12-05,PROYECTO DE LEY,LICENCIADO EN NUTRICIÓN. PROFESIÓN UNIVERSITARIA. REGULACIÓN MARCO JURÍDICO.,EN_TRAMITE
76,141848,2018-11-14,PROYECTO DE LEY,"TERRA, Gabriel. REPRESA. DENOMINACIÓN. MODIFICACIÓN.",EN_TRAMITE
77,140359,2018-07-04,PROYECTO DE LEY,PROGRAMA NACIONAL PREVENCION Y REDUCCION PERDIDAS Y DESPERDICIOS ALIMENTOS. CREACION.,EN_TRAMITE
78,137324,2017-11-01,LEY,FRACTURA HIDRAULICA OBTENCION HIDROCARBUROS NO CONVENCIONALES. MORATORIA,PROMULGA
79,137048,2017-10-11,PROYECTO DE LEY,TESTIGOS Y DENUNCIANTES. RESERVA IDENTIDAD. INSPECCIÓN GENERAL TRABAJO Y SEGURIDAD SOCIAL.,APRUEBA
80,137051,2017-10-10,PROYECTO DE LEY,BANCA. TITULARIDAD. ELECCIONES NACIONALES.,EN_TRAMITE
81,135251,2017-06-13,PROYECTO DE LEY,CEMENTO PORTLAND. ADQUISICION ORGANISMOS ESTADO. REGIMEN.,EN_TRAMITE
82,134770,2017-05-10,PROYECTO DE LEY,COOPERATIVAS Y MONOTRIBUTOS SOCIALES. CONTRATACION ORGANISMOS ESTADO. PAGO SERVICIOS. REGULACION.,EN_TRAMITE
