fecha,id,id_legislador,id_legislatura,id_proyecto,organismo
2018-05-02,318,922,6,139486,ANTEL*
2018-05-02,319,922,6,139487,ANTEL*
2018-05-02,320,922,6,139488,ANTEL*
2018-04-03,321,922,6,139045,MINISTERIO INTERIOR
2018-03-21,322,922,6,138978,MTOP*
2018-03-21,323,922,6,138978,AFE*
2018-03-21,324,922,6,138978,ANP*
2018-03-21,325,922,6,138979,INDA*
2018-03-20,326,922,6,138952,MTOP*
2019-02-12,327,922,6,142491,
2018-12-05,328,922,6,142063,
2018-11-22,329,922,6,141926,
2018-07-10,330,922,6,140424,
2018-05-22,331,922,6,139802,
2018-04-04,332,922,6,139128,
2018-02-21,333,922,6,138468,
2018-03-20,334,922,6,138955,MIDES*
2018-03-12,335,922,6,138838,ANCAP*
2018-03-07,336,922,6,138765,DINAMA*
2018-03-05,337,922,6,138617,MRREE*
2018-03-03,338,922,6,138694,FISCALIA GENERAL NACION
2018-02-19,339,922,6,138436,MGAP*
2018-02-19,340,922,6,138436,INC*
2018-02-09,341,922,6,138413,
2018-02-07,342,922,6,138322,
2017-12-20,343,922,6,137988,
2017-12-06,344,922,6,137830,
2017-11-15,345,922,6,137606,
2017-11-14,346,922,6,137535,
2017-11-08,347,922,6,137427,
2017-11-07,348,922,6,137375,
2017-08-09,349,922,6,136210,
2017-07-12,350,922,6,135674,
2018-02-09,351,922,6,138437,MINISTERIO INTERIOR
2017-10-02,352,922,6,136808,ANCAP*
2017-09-13,353,922,6,136639,MINISTERIO INTERIOR
2017-09-12,354,922,6,136594,MTOP*
2017-04-18,355,922,6,134382,MIEM*
2017-03-27,356,922,6,134143,MINISTERIO INTERIOR
2017-03-22,357,922,6,134035,BROU*
2017-03-13,358,922,6,133826,MEC*
2017-03-07,359,922,6,133750,MTOP*
2017-03-07,360,922,6,133750,MVOTMA*
2017-03-07,361,922,6,133750,OPP*
2017-02-14,362,922,6,133585,ANP*
2017-02-07,363,922,6,133573,MINISTERIO INTERIOR
2017-02-02,364,922,6,133563,MIDES*
2016-12-19,365,922,6,133217,MINISTERIO INTERIOR
2016-12-19,366,922,6,133217,MRREE*
2016-11-30,367,922,6,132927,ANCAP*
2016-11-30,368,922,6,132927,MIEM*
2016-11-21,369,922,6,132760,MRREE*
2016-11-15,370,922,6,132693,ASSE*
2016-11-15,371,922,6,132681,MEF*
2016-11-15,372,922,6,132713,MEF*
2016-11-15,373,922,6,132708,BROU*
2017-07-12,374,922,6,135696,
2017-07-05,375,922,6,135589,
2017-06-27,376,922,6,135458,
2017-06-13,377,922,6,135253,
2017-06-13,378,922,6,135267,
2017-06-05,379,922,6,135084,
2017-06-05,380,922,6,135085,
2017-04-18,381,922,6,134381,
2017-03-14,382,922,6,133874,
2017-02-07,383,922,6,133569,
2016-12-21,384,922,6,133260,
2016-11-23,385,922,6,132827,
2016-11-14,386,922,6,132647,
2016-11-14,387,922,6,132655,
2016-10-04,388,922,6,131924,
2016-10-03,389,922,6,131898,
2016-09-13,390,922,6,131639,
2016-07-12,391,922,6,130719,
2016-06-15,392,922,6,130248,
2016-06-15,393,922,6,130547,
2016-06-08,394,922,6,130149,
2016-06-06,395,922,6,130072,
2016-06-06,396,922,6,130074,
2015-06-16,397,7354,6,125010,
2015-06-16,398,7354,6,125009,
2019-04-12,399,10003,6,143212,MEVIR*
2019-04-12,400,10003,6,143212,BHU*
2019-04-12,401,10003,6,143212,MVOTMA*
2019-04-12,402,10003,6,143212,MIDES*
2019-04-12,403,10003,6,143212,ANV*
2019-04-12,404,10003,6,143216,CODICEN* (ANEP)
2019-04-12,405,10003,6,143216,ANEP*
2018-10-03,406,10003,6,141458,UDELAR*
2018-10-03,407,10003,6,141458,MEF*
2018-10-03,408,10003,6,141458,BCU*
2018-10-03,409,10003,6,141458,BHU*
2018-10-03,410,10003,6,141458,BROU*
2018-10-03,411,10003,6,141458,BSE*
2018-10-03,412,10003,6,141458,MINISTERIO INTERIOR
2018-10-03,413,10003,6,141458,MRREE*
2018-10-03,414,10003,6,141458,ANTEL*
2018-10-03,415,10003,6,141458,MTOP*
2018-10-03,416,10003,6,141458,AFE*
