asistencias,citaciones,cuerpo,id_legislador,informes_total,lema,nombre,proyectos_total
46,50,,11786,2,,"Brause, Alejandro",12
19,19,REPRESENTANTE,11793,4,PARTIDO COLORADO,"Pintado Sabini, Luis Eduardo",2
13,14,,11798,9,,"Ferrero, Sebastián",1
12,12,,11801,2,,"Sánchez, Marisa",1
234,325,REPRESENTANTE,11810,120,PARTIDO NACIONAL,"Arrieta, Elisabeth",22
57,57,REPRESENTANTE,11813,2,PARTIDO FRENTE AMPLIO,"Amaro Vaz, Raúl",2
32,36,,11817,2,,"López De Haro, Alejandro",2
39,44,REPRESENTANTE,11818,1,PARTIDO NACIONAL,"Vázquez, Mabel",2
144,172,REPRESENTANTE,11819,26,PARTIDO INDEPENDIENTE,"Carrasco Briozzo, Andrés",34
354,401,REPRESENTANTE,11827,89,PARTIDO FRENTE AMPLIO,"de los Santos Severgnini, Darcy Amaury",19
34,37,REPRESENTANTE,11828,8,PARTIDO NACIONAL,"Irazábal, Diego",4
40,40,,11829,3,,"Lasa, Nicolás",1
3,3,,11833,2,,"Zumarán, Magdalena",1
7,8,,11835,3,,"Rodríguez Cattaneo, Luisa",2
28,29,,11837,19,,"Collazo, Pablo",4
336,411,REPRESENTANTE,11848,62,PARTIDO NACIONAL,"Irazábal Calleri, Benjamín Eduardo",17
235,330,REPRESENTANTE,11849,15,PARTIDO FRENTE AMPLIO,"Correa, Catalina",4
22,22,,11864,1,,"Barrone, Pablo",1
11,11,,11868,2,,"Machado, Omar",1
2,2,,11869,4,,"Iafigliola, Carlos",1
47,48,,11874,8,,"Berriel, Sonia",1
10,10,,11876,7,,"Rapalin, Lourdes",1
1,1,,11888,1,,"Ramírez, Daniel",1
7,8,,11890,1,,"Silvera, Sebastián",1
54,54,,11891,2,,"Fernández Zapater, Johan Carlos",4
13,15,,11893,3,,"Baranzano, Verónica",2
46,47,,11909,15,,"Olivera, María José",1
9,10,,11910,11,,"de Benedetti, Mauricio",5
33,40,,11913,4,,"Carreras, Ernesto",18
115,148,,11923,14,,"Quintela, Mabel",38
10,10,,11932,2,,"Teixeira, Melisa",1
38,39,,11933,8,,"Díaz Barreto, Carina",2
68,73,,11935,2,,"Sander, Raúl",1
78,82,,11947,16,,"Conde, María Luisa",1
9,9,,12010,6,,"Durand, Diego",6
23,23,,12013,9,,"Rocha, Patricia",2
65,65,,12048,31,,"Martínez, Walter Gonzalo",1
19,19,,12106,11,,"Lamónaca, Claudio",5
53,53,REPRESENTANTE,12369,9,PARTIDO FRENTE AMPLIO,"Acosta, José Luis",2
4,5,,12460,1,,"Olivera, José María",1
3,3,,12471,2,,"Bercianos, Manuel",2
