asistencias,citaciones,faltas_con_aviso,faltas_sin_aviso,fecha,id_comision,id_senador,licencia,otras_comisiones
1,1,0,0,2018-09-11 00:00:00,1104,2743,0,0
1,1,0,0,2018-09-12 00:00:00,1104,2743,0,0
1,1,0,0,2018-09-13 00:00:00,1104,2743,0,0
0,1,0,0,2018-09-14 00:00:00,1104,2743,0,0
0,1,1,0,2018-06-04 00:00:00,927,2743,0,0
0,1,0,0,2015-04-14 00:00:00,418,2743,0,1
1,1,0,0,2015-05-12 00:00:00,418,2743,0,0
1,1,0,0,2018-03-13 00:00:00,418,2743,0,0
1,1,0,0,2018-05-22 00:00:00,418,2743,0,0
1,1,0,0,2018-05-29 00:00:00,418,2743,0,0
1,1,0,0,2018-06-05 00:00:00,418,2743,0,0
1,1,0,0,2018-06-06 00:00:00,418,2743,0,0
1,1,0,0,2019-04-02 00:00:00,418,2743,0,0
1,1,0,0,2015-04-15 00:00:00,322,9891,0,0
1,1,0,0,2015-08-12 00:00:00,322,9891,0,0
1,1,0,0,2015-12-16 00:00:00,322,9891,0,0
0,1,1,0,2015-12-21 00:00:00,322,9891,0,0
0,1,1,0,2016-02-02 00:00:00,322,9891,0,0
0,1,1,0,2016-03-09 00:00:00,322,9891,0,0
1,1,0,0,2016-07-19 00:00:00,322,9891,0,0
1,1,0,0,2017-07-19 00:00:00,322,9891,0,0
1,1,0,0,2017-07-25 00:00:00,322,9891,0,0
1,1,0,0,2018-05-16 00:00:00,322,9891,0,0
1,1,0,0,2018-07-25 00:00:00,322,9891,0,0
0,1,1,0,2015-06-10 00:00:00,317,9891,0,0
0,1,1,0,2015-07-15 00:00:00,317,9891,0,0
0,1,1,0,2015-08-05 00:00:00,317,9891,0,0
1,1,0,0,2015-08-12 00:00:00,317,9891,0,0
1,1,0,0,2015-09-09 00:00:00,317,9891,0,0
0,1,1,0,2015-10-07 00:00:00,317,9891,0,0
0,1,1,0,2016-03-02 00:00:00,317,9891,0,0
1,1,0,0,2016-03-09 00:00:00,317,9891,0,0
0,1,1,0,2016-03-16 00:00:00,317,9891,0,0
0,1,1,0,2016-03-30 00:00:00,317,9891,0,0
0,1,1,0,2016-04-06 00:00:00,317,9891,0,0
0,1,1,0,2016-04-13 00:00:00,317,9891,0,0
0,1,1,0,2016-05-11 00:00:00,317,9891,0,0
0,1,1,0,2016-05-18 00:00:00,317,9891,0,0
0,1,1,0,2016-06-01 00:00:00,317,9891,0,0
1,1,0,0,2016-06-15 00:00:00,317,9891,0,0
0,1,1,0,2016-08-03 00:00:00,317,9891,0,0
0,1,1,0,2016-08-10 00:00:00,317,9891,0,0
1,1,0,0,2016-10-05 00:00:00,317,9891,0,0
0,1,1,0,2016-10-12 00:00:00,317,9891,0,0
0,1,1,0,2016-11-09 00:00:00,317,9891,0,0
1,1,0,0,2016-11-16 00:00:00,317,9891,0,0
0,1,1,0,2016-11-21 00:00:00,317,9891,0,0
0,1,1,0,2016-12-07 00:00:00,317,9891,0,0
1,1,0,0,2016-12-14 00:00:00,317,9891,0,0
1,1,0,0,2017-03-15 00:00:00,317,9891,0,0
1,1,0,0,2017-04-05 00:00:00,317,9891,0,0
0,1,1,0,2017-05-03 00:00:00,317,9891,0,0
0,1,1,0,2017-05-10 00:00:00,317,9891,0,0
1,1,0,0,2017-05-17 00:00:00,317,9891,0,0
1,1,0,0,2017-06-14 00:00:00,317,9891,0,0
1,1,0,0,2017-07-26 00:00:00,317,9891,0,0
0,1,1,0,2017-08-02 00:00:00,317,9891,0,0
1,1,0,0,2017-10-04 00:00:00,317,9891,0,0
1,1,0,0,2017-11-08 00:00:00,317,9891,0,0
0,1,1,0,2017-12-06 00:00:00,317,9891,0,0
1,1,0,0,2018-03-07 00:00:00,317,9891,0,0
1,1,0,0,2018-03-14 00:00:00,317,9891,0,0
1,1,0,0,2018-04-11 00:00:00,317,9891,0,0
0,1,1,0,2018-05-02 00:00:00,317,9891,0,0
1,1,0,0,2018-05-09 00:00:00,317,9891,0,0
1,1,0,0,2018-05-16 00:00:00,317,9891,0,0
0,1,1,0,2018-06-13 00:00:00,317,9891,0,0
0,1,1,0,2018-08-01 00:00:00,317,9891,0,0
0,1,1,0,2018-08-08 00:00:00,317,9891,0,0
1,1,0,0,2018-10-10 00:00:00,317,9891,0,0
0,1,1,0,2018-11-07 00:00:00,317,9891,0,0
1,1,0,0,2015-04-14 00:00:00,312,9891,0,0
1,1,0,0,2015-05-12 00:00:00,312,9891,0,0
1,1,0,0,2015-06-04 00:00:00,312,9891,0,0
0,1,1,0,2015-06-11 00:00:00,312,9891,0,0
0,1,1,0,2015-06-18 00:00:00,312,9891,0,0
0,1,1,0,2015-07-02 00:00:00,312,9891,0,0
1,1,0,0,2015-07-14 00:00:00,312,9891,0,0
0,1,1,0,2015-07-16 00:00:00,312,9891,0,0
1,1,0,0,2015-07-30 00:00:00,312,9891,0,0
0,1,1,0,2015-08-06 00:00:00,312,9891,0,0
0,1,1,0,2015-08-13 00:00:00,312,9891,0,0
1,1,0,0,2015-09-03 00:00:00,312,9891,0,0
1,1,0,0,2015-09-10 00:00:00,312,9891,0,0
0,1,1,0,2015-09-24 00:00:00,312,9891,0,0
1,1,0,0,2015-10-01 00:00:00,312,9891,0,0
1,1,0,0,2015-10-08 00:00:00,312,9891,0,0
0,1,1,0,2015-10-15 00:00:00,312,9891,0,0
0,1,1,0,2015-11-03 00:00:00,312,9891,0,0
1,1,0,0,2015-12-10 00:00:00,312,9891,0,0
1,1,0,0,2016-03-03 00:00:00,312,9891,0,0
0,1,1,0,2016-03-10 00:00:00,312,9891,0,0
1,1,0,0,2016-03-17 00:00:00,312,9891,0,0
1,1,0,0,2016-04-07 00:00:00,312,9891,0,0
0,1,1,0,2016-04-14 00:00:00,312,9891,0,0
0,1,1,0,2016-04-26 00:00:00,312,9891,0,0
1,1,0,0,2016-05-05 00:00:00,312,9891,0,0
1,1,0,0,2016-05-12 00:00:00,312,9891,0,0
0,1,1,0,2016-06-02 00:00:00,312,9891,0,0
1,1,0,0,2016-06-09 00:00:00,312,9891,0,0
0,1,1,0,2016-07-07 00:00:00,312,9891,0,0
0,1,1,0,2016-07-14 00:00:00,312,9891,0,0
1,1,0,0,2016-07-21 00:00:00,312,9891,0,0
