,estado,fecha_entrada,id_ficha,id_senador,organismo,tipo,titulo,nombre
46,REALIZADO,2016-03-10,128639,7740,INEFOP*,PEDIDO DE INFORME,TRABAJADORES. SEGURO DESEMPLEO. NÓMINA. INFORMES.,"Lafluf, Omar"
47,REALIZADO,2015-11-17,127415,7740,MEC*,PEDIDO DE INFORME,"MERELLO SCHULEZ, Rodolfo. PROFESOR CODICEN. SITUACION LABORAL ACTUAL. DETALLES. INFORMES.","Lafluf, Omar"
48,REALIZADO,2015-11-04,127185,7740,MEF*,PEDIDO DE INFORME,SISTEMA NACIONAL DE CUIDADOS. CAPACITACIONES. INFORMES.,"Lafluf, Omar"
49,REALIZADO,2015-11-04,127185,7740,MEC*,PEDIDO DE INFORME,SISTEMA NACIONAL DE CUIDADOS. CAPACITACIONES. INFORMES.,"Lafluf, Omar"
50,REALIZADO,2015-11-04,127185,7740,OPP*,PEDIDO DE INFORME,SISTEMA NACIONAL DE CUIDADOS. CAPACITACIONES. INFORMES.,"Lafluf, Omar"
51,REALIZADO,2015-11-04,127185,7740,MSP*,PEDIDO DE INFORME,SISTEMA NACIONAL DE CUIDADOS. CAPACITACIONES. INFORMES.,"Lafluf, Omar"
52,REALIZADO,2015-11-04,127185,7740,MTSS*,PEDIDO DE INFORME,SISTEMA NACIONAL DE CUIDADOS. CAPACITACIONES. INFORMES.,"Lafluf, Omar"
53,REALIZADO,2015-11-04,127185,7740,MIDES*,PEDIDO DE INFORME,SISTEMA NACIONAL DE CUIDADOS. CAPACITACIONES. INFORMES.,"Lafluf, Omar"
54,REALIZADO,2017-07-26,135905,5246,ONSC*,PEDIDO DE INFORME,CARGO INTENDENTE TREINTA Y TRES. INCOMPATIBILIDADES E IMPEDIMENTOS FUNCIONARIO UTE. INFORMES.,"Topolansky, Lucía"
55,REALIZADO,2017-07-24,135884,5246,CORTE ELECTORAL,PEDIDO DE INFORME,CARGO INTENDENTE TREINTA Y TRES. INCOMPATIBILIDADES E IMPEDIMENTOS FUNCIONARIO UTE. INFORMES.,"Topolansky, Lucía"
56,REALIZADO,2017-04-19,134430,5246,CORTE ELECTORAL,PEDIDO DE INFORME,ELECCIONES NACIONALES 2014. PROCLAMACIÓN. CONSULTAS. INFORMES.,"Topolansky, Lucía"
57,REALIZADO,2018-10-10,141518,9927,MEF*,PEDIDO DE INFORME,EMPRESAS INVESTIGADAS POR SECRETARIA ANTILAVADO POR ASOCIACION ILICITA CONCESION OBRA PUBLICA ARGENTINA. ACTUACION BROU. INFORMES.,"Facello, Guillermo"
58,REALIZADO,2018-06-05,139976,9927,MIEM*,PEDIDO DE INFORME,ANCAP. PARTICIPACION EMPRESAS PRIVADAS. INFORMES.,"Facello, Guillermo"
59,REALIZADO,2018-06-05,139977,9927,MIEM*,PEDIDO DE INFORME,ANCAP. EMPRESAS TERCERIZADAS. INFORMES.,"Facello, Guillermo"
60,REALIZADO,2018-06-05,139978,9927,MIEM*,PEDIDO DE INFORME,UTE. EMPRESAS TERCERIZADAS. INFORMES.,"Facello, Guillermo"
61,REALIZADO,2018-06-05,139975,9927,MGAP*,PEDIDO DE INFORME,INSTITUTO NACIONAL COLONIZACION. PARTICIPACION EMPRESAS PRIVADAS.  INFORMES.,"Facello, Guillermo"
62,REALIZADO,2018-06-05,139960,9927,MVOTMA*,PEDIDO DE INFORME,OSE. PARTICIPACION EMPRESAS Y/O SERVICIOS. CONTRATACION. INFROMES.,"Facello, Guillermo"
63,REALIZADO,2018-06-05,139964,9927,MVOTMA*,PEDIDO DE INFORME,OSE. SERVICIOS TERCIARIZADOS. CONTRATACION. INFORMES.,"Facello, Guillermo"
64,REALIZADO,2018-06-05,139966,9927,MVOTMA*,PEDIDO DE INFORME,ANV. PARTICIPACION EMPRESAS Y/O SERVICIOS. CONTRATACION. INFORMES.,"Facello, Guillermo"
65,REALIZADO,2018-06-05,139979,9927,MIEM*,PEDIDO DE INFORME,UTE. PARTICIPACION EMPRESAS PRIVADAS. INFORMES.,"Facello, Guillermo"
66,REALIZADO,2018-06-05,139997,9927,OPP*,PEDIDO DE INFORME,SECTOR ARROCERO. COSECHA PERIODO 2007-2008 Y 2017-2018. SITUACION PRODUCTORES. INFORMES.,"Facello, Guillermo"
67,REALIZADO,2018-06-05,139999,9927,MEF*,PEDIDO DE INFORME,SECTOR ARROCERO. COSECHA PERIODO 2007-2008 Y 2017-2018. SITUACION PRODUCTORES. INFORMES.,"Facello, Guillermo"
68,REALIZADO,2018-06-05,140000,9927,MGAP*,PEDIDO DE INFORME,SECTOR ARROCERO. COSECHA PERIODO 2007/2008 Y 2017/2018. SITUACION PRODUCTORES. INFORMES.,"Facello, Guillermo"
69,REALIZADO,2018-06-05,139995,9927,MEF*,PEDIDO DE INFORME,BROU. EMPRESAS TERCERIZADAS. SITUACION. INFORMES.,"Facello, Guillermo"
70,REALIZADO,2018-06-05,139980,9927,MVOTMA*,PEDIDO DE INFORME,ADMINISTRACION NACIONAL VIVIENDA. SERVICIOS TERCERIZADOS. CONTRATACION. INFORMES.,"Facello, Guillermo"
71,REALIZADO,2018-06-05,139981,9927,MTOP*,PEDIDO DE INFORME,AFE. SERVICIOS TERCIARIZADOS. CONTRATACION. INFORMES.,"Facello, Guillermo"
