asistencias,citaciones,faltas_con_aviso,faltas_sin_aviso,fecha,id_senador,licencia,pasaje_presidencia
1,1,0,0,2017-03-08 00:00:00,1044,0,0
1,1,0,0,2017-03-14 00:00:00,1044,0,0
1,1,0,0,2017-03-15 00:00:00,1044,0,0
1,1,0,0,2017-03-21 00:00:00,1044,0,0
1,1,0,0,2017-04-04 00:00:00,1044,0,0
1,1,0,0,2017-04-05 00:00:00,1044,0,0
1,1,0,0,2017-04-18 00:00:00,1044,0,0
1,1,0,0,2017-04-26 00:00:00,1044,0,0
1,1,0,0,2017-05-02 00:00:00,1044,0,0
1,1,0,0,2017-05-03 00:00:00,1044,0,0
1,1,0,0,2017-05-09 00:00:00,1044,0,0
1,1,0,0,2017-05-10 00:00:00,1044,0,0
1,1,0,0,2017-05-16 00:00:00,1044,0,0
1,1,0,0,2017-05-17 00:00:00,1044,0,0
1,1,0,0,2017-06-06 00:00:00,1044,0,0
1,1,0,0,2017-06-07 00:00:00,1044,0,0
1,1,0,0,2017-06-14 00:00:00,1044,0,0
1,1,0,0,2017-06-21 00:00:00,1044,0,0
1,1,0,0,2017-06-29 00:00:00,1044,0,0
0,1,0,0,2017-07-04 00:00:00,1044,1,0
0,1,0,0,2017-07-05 00:00:00,1044,1,0
0,1,0,0,2017-07-11 00:00:00,1044,1,0
0,1,0,0,2017-07-12 00:00:00,1044,1,0
1,1,0,0,2017-07-26 00:00:00,1044,0,0
0,1,0,0,2017-08-02 00:00:00,1044,1,0
0,1,0,0,2017-08-08 00:00:00,1044,1,0
