,id_comision,id_senador,fecha_reunion,citacion,falta_con_aviso,falta_sin_aviso,licencia,otras_comisiones
166,311,327,2016-03-08,1,0,0,0,0
167,311,327,2016-03-15,1,0,0,0,0
168,311,327,2016-04-05,1,0,0,0,0
169,311,327,2016-04-19,1,1,0,0,0
170,311,327,2016-04-26,1,0,0,0,0
171,311,327,2016-05-03,1,0,0,0,0
172,311,327,2016-05-10,1,0,0,0,0
173,311,327,2016-05-17,1,0,0,0,0
174,311,327,2016-05-24,1,0,0,0,0
175,311,327,2016-05-31,1,0,0,0,0
176,311,327,2016-06-07,1,0,0,0,0
177,311,327,2016-06-14,1,0,0,0,0
178,311,327,2016-06-21,1,0,0,0,0
179,311,327,2016-06-28,1,0,0,0,0
180,311,327,2016-07-05,1,0,0,0,0
181,311,327,2016-07-19,1,0,0,0,0
182,311,327,2016-07-26,1,0,0,0,0
183,311,327,2016-08-02,1,0,0,0,0
184,311,327,2016-08-09,1,0,0,0,0
185,311,327,2016-08-12,1,0,0,0,0
186,311,327,2016-08-19,1,0,0,0,0
187,311,327,2016-08-26,1,0,0,0,0
188,311,327,2016-09-22,1,0,0,0,0
189,311,327,2016-09-27,1,0,0,0,0
190,311,327,2016-09-30,1,1,0,0,0
191,311,327,2016-10-04,1,0,0,0,0
192,311,327,2016-10-11,1,0,0,0,0
193,311,327,2016-10-18,1,0,0,0,0
194,311,327,2016-11-01,1,0,0,0,0
195,311,327,2016-11-08,1,0,0,0,0
196,311,327,2016-11-15,1,0,0,0,0
197,311,327,2016-11-29,1,0,0,0,0
198,311,327,2016-12-06,1,0,0,0,0
199,311,327,2016-12-14,1,1,0,0,0
200,311,327,2017-03-07,1,0,0,0,0
201,311,327,2017-03-14,1,0,0,0,0
202,311,327,2017-03-21,1,0,0,0,0
203,311,327,2017-03-28,1,0,0,0,0
204,311,327,2017-04-18,1,0,0,0,0
205,311,327,2017-04-25,1,1,0,0,0
206,311,327,2017-05-02,1,0,0,0,0
207,311,327,2017-05-09,1,0,0,0,0
208,311,327,2017-05-16,1,0,0,0,0
209,311,327,2017-05-23,1,0,0,0,0
210,311,327,2017-05-30,1,0,0,0,0
211,311,327,2017-06-06,1,0,0,0,0
212,311,327,2017-06-13,1,0,0,0,0
213,311,327,2017-06-20,1,0,0,0,0
214,311,327,2017-06-27,1,1,0,0,0
215,311,327,2017-07-04,1,0,0,0,0
216,311,327,2017-07-11,1,0,0,0,0
217,311,327,2017-07-25,1,0,0,0,0
218,311,327,2017-08-08,1,0,0,0,0
219,311,327,2017-08-15,1,0,0,0,0
220,311,327,2017-08-22,1,0,0,0,0
221,311,327,2017-09-05,1,0,0,0,0
222,311,327,2017-09-19,1,0,0,0,0
223,311,327,2017-09-26,1,0,0,0,0
224,311,327,2017-10-03,1,0,0,0,0
225,311,327,2017-10-10,1,0,0,0,0
226,311,327,2017-10-17,1,0,0,0,0
227,311,327,2017-10-24,1,0,0,0,0
228,311,327,2017-10-31,1,0,0,0,0
229,311,327,2017-11-07,1,0,0,0,0
230,311,327,2017-11-14,1,0,0,0,0
231,311,327,2017-11-21,1,0,0,0,0
232,311,327,2017-12-12,1,0,0,0,0
233,311,327,2017-12-19,1,0,0,0,0
234,311,327,2018-03-06,1,0,0,0,0
235,311,327,2018-03-13,1,0,0,0,0
236,311,327,2018-04-03,1,0,0,0,0
237,311,327,2018-04-10,1,0,0,0,0
238,311,327,2018-04-17,1,0,0,0,0
239,311,327,2018-04-24,1,0,0,0,0
240,311,327,2018-05-08,1,0,0,0,0
241,311,327,2018-05-15,1,0,0,0,0
242,311,327,2018-05-22,1,0,0,0,0
243,311,327,2018-05-24,1,0,0,0,0
244,311,327,2018-05-29,1,0,0,0,0
245,311,327,2018-06-05,1,0,0,0,0
246,311,327,2018-06-12,1,0,0,0,0
247,311,327,2018-06-20,1,0,0,0,0
248,311,327,2018-06-26,1,0,0,0,0
