,id_senador,titulo,fecha_entrada,id_ficha,organismo,tipo,estado,nombre
65,9927,SECTOR ARROCERO. COSECHA PERIODO 2007-2008 Y 2017-2018. SITUACION PRODUCTORES. INFORMES.,2018-06-05,139997,OPP*,PEDIDO_INFORME,REALIZADO,"Facello, Guillermo"
66,9927,SECTOR ARROCERO. COSECHA PERIODO 2007-2008 Y 2017-2018. SITUACION PRODUCTORES. INFORMES.,2018-06-05,139999,MEF*,PEDIDO_INFORME,REALIZADO,"Facello, Guillermo"
67,9927,SECTOR ARROCERO. COSECHA PERIODO 2007/2008 Y 2017/2018. SITUACION PRODUCTORES. INFORMES.,2018-06-05,140000,MGAP*,PEDIDO_INFORME,REALIZADO,"Facello, Guillermo"
68,9927,BROU. EMPRESAS TERCERIZADAS. SITUACION. INFORMES.,2018-06-05,139995,MEF*,PEDIDO_INFORME,REALIZADO,"Facello, Guillermo"
69,9927,ADMINISTRACION NACIONAL VIVIENDA. SERVICIOS TERCERIZADOS. CONTRATACION. INFORMES.,2018-06-05,139980,MVOTMA*,PEDIDO_INFORME,REALIZADO,"Facello, Guillermo"
70,9927,AFE. SERVICIOS TERCIARIZADOS. CONTRATACION. INFORMES.,2018-06-05,139981,MTOP*,PEDIDO_INFORME,REALIZADO,"Facello, Guillermo"
71,9927,AFE. PARTICIPACION EMPRESAS Y/O SERVICIOS. CONTRATACION. INFORMES.,2018-06-05,139983,MTOP*,PEDIDO_INFORME,REALIZADO,"Facello, Guillermo"
72,9927,TLC UNION EUROPEA Y MERCOSUR. REGIMEN ESPECIAL ADMISION TEMPORARIA. POSICIONES. INFORMES.,2018-05-16,139761,MEF*,PEDIDO_INFORME,REALIZADO,"Facello, Guillermo"
73,9927,TLC UNION EUROPEA Y MERCOSUR. REGIMEN ESPECIAL ADMISION TEMPORARIA. POSICIONES. INFORMES.,2018-05-16,139762,MRREE*,PEDIDO_INFORME,REALIZADO,"Facello, Guillermo"
74,9927,TLC UNION EUROPEA Y MERCOSUR. REGIMEN ESPECIAL ADMISION TEMPORARIA. POSICIONES. INFORMES.,2018-05-16,139763,MIEM*,PEDIDO_INFORME,REALIZADO,"Facello, Guillermo"
75,9927,BROU. REESTRUCTURA SERVICIOS. SITUACION. INFORMES.,2017-12-05,137760,MEF*,PEDIDO_INFORME,REALIZADO,"Facello, Guillermo"
76,9927,RUTAS NACIONALES 27 Y 30 (RIVERA). OBRAS REPARACION. INFORMES.,2017-10-17,137129,MTOP*,PEDIDO_INFORME,REALIZADO,"Facello, Guillermo"
77,9927,LICEO DOLORES (SORIANO). SITUACION. INFORMES.,2017-05-02,134604,MEC*,PEDIDO_INFORME,REALIZADO,"Facello, Guillermo"
78,9927,CONSTRUCCION VIVIENDAS PARQUE MIRAMAR (CANELONES). NORMATIVA MEDIOAMBIENTAL. INFORMES.,2017-04-04,134312,MVOTMA*,PEDIDO_INFORME,REALIZADO,"Facello, Guillermo"
79,9927,"CASTRO, Fidel. FALLECIMIENTO. COBERTURA ESPECIAL. SODRE. INFORMES.",2016-12-06,133037,MEC*,PEDIDO_INFORME,REALIZADO,"Facello, Guillermo"
80,9927,ANCAP. VENTA ACCIONES CARBOCLOR VIA ANCSOL S.A. INFORMES.,2016-11-17,132735,MIEM*,PEDIDO_INFORME,REALIZADO,"Facello, Guillermo"
81,9927,ADMINISTRACION NACIONAL PUERTOS. PLAN MAESTRO. IMPLEMENTACION. INFORMES.,2016-10-31,132422,MTOP*,PEDIDO_INFORME,REALIZADO,"Facello, Guillermo"
82,9927,ADMINISTRACION NACIONAL PUERTOS. SITUACION FINANCIERA TERMINAL CUENCA PLATA. AUDITORIAS CONTRATADAS. INFORMES.,2016-10-31,132424,MTOP*,PEDIDO_INFORME,REALIZADO,"Facello, Guillermo"
83,9927,ADMINISTRACION NACIONAL PUERTOS. APORTE ACCIONES TERMINAL CUENCA PLATA. INFORMES.,2016-10-31,132425,MTOP*,PEDIDO_INFORME,REALIZADO,"Facello, Guillermo"
84,9927,TORNADO DOLORES (SORIANO). SITUACION. ACCIONES MSP. INFORMES.,2016-10-04,131915,MSP*,PEDIDO_INFORME,REALIZADO,"Facello, Guillermo"
85,9927,TORNADO DOLORES (SORIANO). SITUACION. ACCIONES MIDES. INFORMES.,2016-10-04,131914,MIDES*,PEDIDO_INFORME,REALIZADO,"Facello, Guillermo"
86,9927,TORNADO DOLORES (SORIANO). SITUACION. ACCIONES MDN. INFORMES.,2016-10-04,131916,MDN*,PEDIDO_INFORME,REALIZADO,"Facello, Guillermo"
87,9927,TORNADO DOLORES (SORIANO). ACCIONES MVOTMA. INFORMES.,2016-10-04,132064,MVOTMA*,PEDIDO_INFORME,REALIZADO,"Facello, Guillermo"
88,9927,EMBARAZO ADOLESCENTE. DATOS APORTADOS UDELAR - ONU. INFORMES.,2016-10-04,131917,MIDES*,PEDIDO_INFORME,REALIZADO,"Facello, Guillermo"
89,9927,TORNADO DOLORES. SITUACION. ACCIONES MTOP. INFORMES.,2016-10-04,131913,MTOP*,PEDIDO_INFORME,REALIZADO,"Facello, Guillermo"
